Cluster ID,Label,Top Terms,Num Reviews,Verified Ratio,Examples
-1,Unknown,"socks, size, good, fit, great, br, like, shoes, feet, stars",918,0.95,"Shrunk and got hard!. This was my second pair. Absolutely loved his first pair. Wore them all summer. But the second pair shrunk and got very hard after kicking them off under the dinner table on the patio for a few hours. No word back from customer service!
---
Do not recommend. The very first time these were worn in the rain and mud they ripped
---
Didn't realize this had cancer causing materials in it. When it arrived it had a big sticker saying ""Contains chemicals known to cause cancer""...I was going to return it but it ended up getting shuffled around my house then I was past the return date so I just threw it out."
0,Unknown,"muy, la, son, las, es, el, cómodas, calidad, que, para",34,1.0,"Muy decepcionado. Es una pena que botas de una marca reconocida , por su calidad  , venda estas botas por $ 165 y tengan tan pero tan mala calidad , las mías no duraron 8 meses y nunca las he usado en trabajos pesados , nunca pensé que unas botas de Wolverine ,fueran a romperse en tan poco tiempo , deberían reembolsar parte del dinero a los que hemos comprado estas botas y no han durado ni 8 meses 😫😫😫😫😫
---
Me llego susio no la talla que pedi.  
---
Salieron de muy poca calidad para su precio. Son cómodas"
1,Unknown,"hat, size, stetson, pleased, great, nice, quality, sizing, br, good",33,0.97,"Not pleased at all, not even made well for the money. Size too complicated to figure out vs other hats, not made well for the money, disappointed, especially being a Stetson
---
Pass. Hat is nicely made. Hat sizing does not match what is said in describtion
---
Not worth the price. Poor quality and customer service.. Stretches horribly and company was terrible to work with. They were unapologetic for this less than stellar hat. Very disappointing."
2,Fit / Authenticity / Defects,"fake, sunglasses, glasses, good, polarized, like, br, great, lenses, lens",86,0.86,"Not what they said. I ordered these specifically because it stated that they were polarized. They were NOT polarized, so they went back immediately. That was the one stipulation of getting my boyfriend sunglasses. Disappointed, because the color was great.
---
Came Used. Visor arrived with dirty with finger prints, scratches, and stickers already placed.
---
There is no room. It is flat there is no room for eyes my sons eyes were pressed against the lenses he was very uncomfortable so of course he just would want them off waste of money nice idea but needs to be redesigned"
3,Unknown,"shoe, trees, tree, shoe trees, shoe tree, shoes, quality, good, cedar, allen",54,0.98,"Poor fit. I've used shoe trees for years. Have a number of different makes. The cedar scent is fine, but the large size I ordered doesn't work for size 13. The springs that extend the size are very poor. The fit in the shoe is very loose.
---
poor design. the shoe trees do  not fit into the shoes. the manufacture is now changing a $5.00 plus to return.. there are other manufactures which produce a quality product. my suggestion is not to buy Woodlore products.
---
Kindling. What a disappointment.  Literally fell apart as I was taking out of the box.  These are hardly shoe trees, more like blocks of cedar on cheap metal frame.  Way too small and don’t spread to fill shoes. Pathetic."
4,Unknown,"stars, great, stars great, excellent, stars excellent, good, stars good, product, love, stars love",39,0.97,"Five Stars. Great
---
Five Stars. Good product.
---
Five Stars. Gr8. Warm."
5,Socks / Fit & Quality,"socks, stars, great, stars great, great socks, good, sock, stars good, nice, stars nice",76,0.95,"One Star. THEY ARE LIGHT GREY SOCKS NOT BLACK.
---
One Star. Socks had a hole in them before I tried them on.  Maybe they were “blemished” and I didn’t notice.
---
One Star. Very thick socks"
6,Unknown,"bra, small, cups, like, line, long, look, ordered, size, really",26,0.85,"Did nothing for my breasts. Wish I could find something like this but with underwire and molded cups. Guess I'll have to spring for the Shapeez because this thing has nothing but a regular seam underneath the breast. Even though it wasn't too tight, I felt like I had on a corset yet my breasts looked like I wasn't wearing a bra at all. I don't understand how this bra offers so much coverage and still doesn't support one bit.
---
Not enough support for a long line bra.. I expected more support from along line bra. I was disappointed
---
Pretty but too small. I ordered my normal bra size but it’s too small. It lacks about 2” in wrapping around my midriff. I had to return it."
7,Clothing / Fit & Quality,"shirt, shirts, size, great, large, good, fit, small, like, big",68,0.93,"Too tight. Not loose fit. Only sleeves is loose.. This thing is too slim and does not fit loosely. I’m average on the BMI scale and I feel like it’s false advertisement on the ‘loose fit’.<br /><br />Good quality shirt but isn’t as described
---
Very disappointed!. I have bought over a dozen of these shirts in the past and they have always fit great but the new ones are a different fabric and they’re not even close to fitting.
---
Do not buy Carhartt products from Amazon.. I've ordered 2 carhartt shirts from Amazon. The medium I ordered I gave to a guy who usually wears a 2xl. I thought maybe it was just a mistake. The small shirt I ordered was also absolutely enormous. Would strongly advise against buying anything carhartt products from Amazon."
8,Unknown,"stars, shoes, boots, love, great, shoe, stars love, good, size, love shoes",35,0.97,"Horrible shoes deserves zero stars. Horrible shoes deserves zero stars
---
One Star. These shoes were hideous and painfully narrow.  After two wears I threw them away.
---
One Star. Box said the right size, 6.5 wide. Shoe was the wrong size, 6.5.  :("
