asin,brand_name,parent_asin,user_id,date,title,text,images,helpful_vote,verified_purchase,doc,cluster,umap_x,umap_y,label,final_label
B0007XB2Y8,Carhartt,B0C1CW6ZCJ,AEXGQF5KRMQPIIGABYU4NGU2QWIA,2022-08-04 06:35:58.242,Too tight. Not loose fit. Only sleeves is loose.,This thing is too slim and does not fit loosely. I’m average on the BMI scale and I feel like it’s false advertisement on the ‘loose fit’.<br /><br />Good quality shirt but isn’t as described,[],1,True,Too tight. Not loose fit. Only sleeves is loose.. This thing is too slim and does not fit loosely. I’m average on the BMI scale and I feel like it’s false advertisement on the ‘loose fit’.<br /><br />Good quality shirt but isn’t as described,7,0.3903081,4.165219,Clothing / Fit & Quality,Clothing / Fit & Quality
B012SPPR3Y,Sloggers,B09NSZ12NZ,AG3ZJ6A7PU7ZDMUKDZVOHMFTOOJA,2021-06-21 04:17:06.209,Even the larger size is too narrow & painfully tight,Too small. I usually wear 8.5 W so I ordered a 9 per the reviews. They were kind of hard to get on (definitely needed to use both hands to pull the back over my heel) and once they were on they were too long in the toe and so tight and pinching my feet feel throbbing in pain within minutes! Would not recommend for wide feet!,[],0,True,Even the larger size is too narrow & painfully tight. Too small. I usually wear 8.5 W so I ordered a 9 per the reviews. They were kind of hard to get on (definitely needed to use both hands to pull the back over my heel) and once they were on they were too long in the toe and so tight and pinching my feet feel throbbing in pain within minutes! Would not recommend for wide feet!,36,4.67241,-2.1923022,Shoes / Fit & Width Issues,Shoes / Fit & Width Issues
B01LXCNS2G,Sbicca,B08JSYWH7D,AFFVAJTCQEAG5PQDCKTDYC3YUYWQ,2019-07-18 21:38:27.088,Not well made,Sole started coming apart after occasional wearing if a month.  Very disappointed.  My last Huaraches from Sketchers lasted for 3 years.  Unfortunately they don’t make them anymore,[],1,True,Not well made. Sole started coming apart after occasional wearing if a month.  Very disappointed.  My last Huaraches from Sketchers lasted for 3 years.  Unfortunately they don’t make them anymore,23,2.5093935,-2.4406595,Shoes / Durability & Quality,Shoes / Durability & Quality
B00A9MQCVK,Hue,B00S7UIJE4,AGGCLHRQSTWKWKMJL4VZEUJAVPSA,2020-06-25 21:06:48.647,One size does not fit all.,Too small!,[],2,True,One size does not fit all.. Too small!,28,3.7102473,1.5699072,Fit & Sizing Issues,Fit & Sizing Issues
B08NTV9GLM,NuuSol,B0C5QM8RWX,AHNTYMBCE5ZEEOGECYSF6FJQPPCA,2022-09-07 12:18:17.813,Shrunk and got hard!,This was my second pair. Absolutely loved his first pair. Wore them all summer. But the second pair shrunk and got very hard after kicking them off under the dinner table on the patio for a few hours. No word back from customer service!,[],0,True,Shrunk and got hard!. This was my second pair. Absolutely loved his first pair. Wore them all summer. But the second pair shrunk and got very hard after kicking them off under the dinner table on the patio for a few hours. No word back from customer service!,-1,2.075371,-2.1038787,Other / Mixed / Noise,Other / Mixed / Noise
B01MRYN5PY,Wolverine,B0C6B2Q6HM,AH2H5BKDOBFXUKEYXB4Q5KLJZNEA,2021-07-24 22:40:58.369,Deteriorating souls.,[[VIDEOID:ecd6a64655435af392971e48d55a2d05]] This is my second pair. At the end of about 5 months wearing the boots the soul came apart. The hills disintegrated. I gave them the benefit of the doubt for the second pair. The booty self I've never had a fit so nicely. No blisters on my hill. But the most important part is after about 5 months the souls are no good. I'll never buy wolverines again.,[],2,False,Deteriorating souls.. [[VIDEOID:ecd6a64655435af392971e48d55a2d05]] This is my second pair. At the end of about 5 months wearing the boots the soul came apart. The hills disintegrated. I gave them the benefit of the doubt for the second pair. The booty self I've never had a fit so nicely. No blisters on my hill. But the most important part is after about 5 months the souls are no good. I'll never buy wolverines again.,26,2.5935829,-3.455158,Work / Durability / Fit,Work / Durability / Fit
B078WG5Z3G,Oakley,B08W5HY5HP,AE6EKEDY5C7HWXWK765EYK7XVQDA,2020-12-04 00:36:50.391,Not what they said,"I ordered these specifically because it stated that they were polarized. They were NOT polarized, so they went back immediately. That was the one stipulation of getting my boyfriend sunglasses. Disappointed, because the color was great.",[],0,False,"Not what they said. I ordered these specifically because it stated that they were polarized. They were NOT polarized, so they went back immediately. That was the one stipulation of getting my boyfriend sunglasses. Disappointed, because the color was great.",2,2.5081534,5.781424,Fit / Authenticity / Defects,Fit / Authenticity / Defects
B00506RWH8,TREDS,B00506RWH8,AFV2RQUZD4ILXMGYZ4WCXO7YP2RQ,2020-02-12 23:01:13.060,Do not recommend,The very first time these were worn in the rain and mud they ripped,[],0,True,Do not recommend. The very first time these were worn in the rain and mud they ripped,-1,1.7022947,-1.5706009,Other / Mixed / Noise,Other / Mixed / Noise
B001SI0UR6,Rago,B074VYZMXG,AF2RRACETXEIXHQ4YZJCNEIIHXNA,2018-01-04 20:26:17.015,One Star,"I returned this product, no adjustably.",[],0,True,"One Star. I returned this product, no adjustably.",16,2.9573855,2.1677582,Fit & Sizing Issues,Fit & Sizing Issues
B00P2Y2J9E,refrigiwear,B07W93DCNM,AF7E3OYMUYCVQ6XIOAJ775GM4KZQ,2019-05-30 17:33:19.968,Didn't realize this had cancer causing materials in it,"When it arrived it had a big sticker saying ""Contains chemicals known to cause cancer""...I was going to return it but it ended up getting shuffled around my house then I was past the return date so I just threw it out.",[],1,True,"Didn't realize this had cancer causing materials in it. When it arrived it had a big sticker saying ""Contains chemicals known to cause cancer""...I was going to return it but it ended up getting shuffled around my house then I was past the return date so I just threw it out.",-1,2.481812,4.4322743,Other / Mixed / Noise,Other / Mixed / Noise
B00G6THSZO,Thompson Tee,B07BVBM17Z,AHOXLHUVMCBB3B4I34RMIUQ4BDYQ,2020-06-25 17:59:19.046,Good idea...poor execution!,It feels like you're wearing pads under your arm pits. Won't buy again. Not comfortable and the shirt is nothing more than an average cotton t-shirt.,[],0,True,Good idea...poor execution!. It feels like you're wearing pads under your arm pits. Won't buy again. Not comfortable and the shirt is nothing more than an average cotton t-shirt.,10,-0.4721335,4.38615,Comfort & Wearability,Comfort & Wearability
B01LZRR915,Rocky,B0BN49QFL4,AHAS3HWIRPEI2HK5IR5HEBPH7EYA,2020-11-16 03:19:32.792,Poor quality,"Super soft, but my daughter wore the 2 times and there is already a hole in the armpit.<br /><br />*edited to add*<br />My daughter literally slept in the pants one time and there is a giant hole in the seams on those as well, I don’t think this product is made well.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71wkqQQBuAL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71wkqQQBuAL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71wkqQQBuAL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",0,True,"Poor quality. Super soft, but my daughter wore the 2 times and there is already a hole in the armpit.<br /><br />*edited to add*<br />My daughter literally slept in the pants one time and there is a giant hole in the seams on those as well, I don’t think this product is made well.",-1,-0.60527986,0.41964158,Other / Mixed / Noise,Other / Mixed / Noise
B000AP3BRY,Reebok,B07T3J1XQT,AGUEQSYINCJKFVWPZQ6CSGKZHT4A,2021-07-01 16:30:26.250,Don’t Buy,Not at as expected,[],0,True,Don’t Buy. Not at as expected,24,3.0505016,2.8248653,Positive / Satisfaction / Quality,Positive / Satisfaction / Quality
B000OCQ15W,Reebok,B07T3J1XQT,AFU262VR2Y6NOZP3LO3SR6FT434A,2013-04-20 16:24:34.000,Not the same Princess,"I ordered the Princess since I've previously owned the Reebok shoe by the same name.  Reebok has changed the shoe and, since it is made in Vietnam does not fit properly, is uncomfortable, and of less quality.  I returned for refund and would not order again.",[],5,True,"Not the same Princess. I ordered the Princess since I've previously owned the Reebok shoe by the same name.  Reebok has changed the shoe and, since it is made in Vietnam does not fit properly, is uncomfortable, and of less quality.  I returned for refund and would not order again.",20,4.172214,-0.7612998,Fit & Sizing Issues,Fit & Sizing Issues
B009CCRK8C,People Socks,B0C3GBP2C5,AHUWUC7GJYCAJCNPUNI4TATBQ3FQ,2016-02-05 04:58:47.000,One Star,THEY ARE LIGHT GREY SOCKS NOT BLACK.,[],2,True,One Star. THEY ARE LIGHT GREY SOCKS NOT BLACK.,5,-1.0625232,-2.4384012,Socks / Fit & Quality,Socks / Fit & Quality
B004OWSOUI,Thorogood,B002QQ8XRI,AENG2LRFML7YADUJVWGVGODWIICQ,2020-11-15 23:09:45.261,Size up..,Run really small. Feet were swollen after 4 hours of working. Lucky I had a pair of sneakers in my work truck to finish the day.,[],0,True,Size up... Run really small. Feet were swollen after 4 hours of working. Lucky I had a pair of sneakers in my work truck to finish the day.,-1,3.16225,-1.2603189,Other / Mixed / Noise,Other / Mixed / Noise
B000OCQ13Y,Reebok,B07T3J1XQT,AEUB5OGSOG5VDGFP6NDXXKZZU55A,2020-05-18 12:38:09.353,Won’t buy Reebok again until they sell 99% fit,Love Reebok but they run small. Went with sketchers. They offered more stability for my foot!! Reebok felt like my foot was going to tip over! They did not fit well at all. I tried two different sizes. One larger than the other. Returned both. Now UPS has no record of return!! OMG!! Help!!,[],0,True,Won’t buy Reebok again until they sell 99% fit. Love Reebok but they run small. Went with sketchers. They offered more stability for my foot!! Reebok felt like my foot was going to tip over! They did not fit well at all. I tried two different sizes. One larger than the other. Returned both. Now UPS has no record of return!! OMG!! Help!!,20,4.446324,-0.77875483,Fit & Sizing Issues,Fit & Sizing Issues
B009Y9QCCS,People Socks,B0C3GBP2C5,AHE3OWVE2NGGSFKNERFCCMVBZXDA,2014-05-16 01:04:43.000,Just buy 2 pairs of sweat socks instead!,"Got theses sock as a gift and the soles of all 4 pairs of socks wore out in less than a month, horrible!",[],14,False,"Just buy 2 pairs of sweat socks instead!. Got theses sock as a gift and the soles of all 4 pairs of socks wore out in less than a month, horrible!",41,0.19992054,-2.0572388,Miscellaneous / Other,Miscellaneous / Other
B08GPDY3CY,Oakley,B08GPG2TXR,AFNJAET7ULXT5CXGOIZUFL57MV3A,2022-09-28 01:31:19.801,Came Used,"Visor arrived with dirty with finger prints, scratches, and stickers already placed.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61I6xEzMvoL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61I6xEzMvoL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61I6xEzMvoL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61dTsaT18oL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61dTsaT18oL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61dTsaT18oL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/81N5muBLtZL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81N5muBLtZL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81N5muBLtZL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",0,True,"Came Used. Visor arrived with dirty with finger prints, scratches, and stickers already placed.",2,2.5616882,5.3362875,Fit / Authenticity / Defects,Fit / Authenticity / Defects
B009CCRK8C,People Socks,B0C3GBP2C5,AFYCRZ4ANVMSWPVFH36G3AJYMV4A,2020-12-04 02:55:22.910,Quality Change?,"I first ordered People Socks in Jan 2020.  They were amazing - super soft and comfortable.  I placed two more orders in the next month.<br /><br />As I have basically lived in these socks through COVID they have become a little scratchy.  I didn't realize that its not the best approach to dry them in the dryer. as it changes the character of the fabric.  So, I ordered more.<br /><br />The new socks arrived yesterday and they just aren't the same quality as they were less than a year ago.  They are tight.  They are not overly soft.  I will not order again.",[],8,True,"Quality Change?. I first ordered People Socks in Jan 2020.  They were amazing - super soft and comfortable.  I placed two more orders in the next month.<br /><br />As I have basically lived in these socks through COVID they have become a little scratchy.  I didn't realize that its not the best approach to dry them in the dryer. as it changes the character of the fabric.  So, I ordered more.<br /><br />The new socks arrived yesterday and they just aren't the same quality as they were less than a year ago.  They are tight.  They are not overly soft.  I will not order again.",42,-0.5728511,-2.0702462,Quality & Durability,Quality & Durability
B000OCQ19S,Reebok,B07T3J1XQT,AHRLSVGDTORMYS3XOL5STNBR6WCQ,2019-04-18 22:44:29.655,Not Set is that,I ordered Wide but they were very Tight,[],0,True,Not Set is that. I ordered Wide but they were very Tight,36,5.0704627,-2.426346,Shoes / Fit & Width Issues,Shoes / Fit & Width Issues
B07CYVDSF4,Nike,B08QDQX5R5,AHU26SCFHLZU6SYPHQKJPFCU6D6Q,2023-05-13 21:03:12.726,Not the same socks as pictured,Not the same socks as pictured. No Dry Fit wording and different stitching. I was looking for very specific socks and these aren’t them.,[],2,True,Not the same socks as pictured. Not the same socks as pictured. No Dry Fit wording and different stitching. I was looking for very specific socks and these aren’t them.,-1,-0.44030446,-3.0473,Other / Mixed / Noise,Other / Mixed / Noise
